App,AdUnit,Week,Requests,Impressions,Clicks,Conversions,Revenue,CTR
Medieval Farms,Banner 1,2019-12-16 - 2019-12-22,474,67,3,0,0.01464162055,0.044776119403
Medieval Farms,Banner 1,2019-12-23 - 2019-12-29,4717,418,6,0,0.14981184586,0.0143540669856
Medieval Farms,Banner 1,2019-12-30 - 2020-01-05,6692,1911,11,0,0.22340694583,0.00575614861329
Medieval Farms,Banner 1,2020-01-06 - 2020-01-12,2779,1063,4,0,0.11634375288,0.00376293508937
Medieval Farms,Fullscreen 1,2019-12-16 - 2019-12-22,178,13,6,0,0.02212410087,0.461538461538
Medieval Farms,Fullscreen 1,2019-12-23 - 2019-12-29,611,67,11,0,0.224685039,0.164179104478
Medieval Farms,Fullscreen 1,2019-12-30 - 2020-01-05,527,145,8,0,0.36657916469,0.0551724137931
Medieval Farms,Fullscreen 1,2020-01-06 - 2020-01-12,241,69,5,0,0.16227045648,0.0724637681159
